Instiution	Country	Region	MainOrg	Type
01.AI	China	China	01.AI	INDUSTRY
Aalto University	Finland	Europe	Aalto University	ACADEMIA
Aalto University School of Science	Finland	Europe	Aalto University	ACADEMIA
Abu Dhabi	United Arab Emirates	Middle East	Abu Dhabi	N/A
Academy for Engineering	n/a	n/a	Academy for Engineering	ACADEMIA
AgiBot	Germany	Europe	AgiBot	INDUSTRY
AI Institute	n/a	n/a	AI Institute	N/A
AI^2Robotics	Germany	Europe	AI^2Robotics	ACADEMIA
AI21 Labs	Israel	Middle East	AI21 Labs	INDUSTRY
AI2Robotics	USA	North America	AI2Robotics	INDUSTRY
AI4Finance-Foundation	n/a	n/a	AI4Finance-Foundation	N/A
AIM Lab	USA	North America	AIM Lab	ACADEMIA
AIR	USA	North America	AIR	ACADEMIA
AIST	Japan	APAC	AIST	ACADEMIA
AIX	Germany	Europe	AIX	N/A
Alana AI	United Kingdom	Europe	Alana AI	INDUSTRY
Alibaba	China	China	Alibaba	INDUSTRY
Alibaba Rhino fashion production	China	China	Alibaba	INDUSTRY
DAMO Academy	China	China	Alibaba	INDUSTRY
Alibaba Cloud	China	China	Alibaba	INDUSTRY
Alibaba Group	China	China	Alibaba	INDUSTRY
CaiNiao Inc.	China	China	Alibaba	INDUSTRY
DAMO Academy Alibaba Group	China	China	Alibaba	INDUSTRY
Qwen Team	China	China	Alibaba	INDUSTRY
Allen Institute for AI	USA	North America	Allen Institute for Artificial Intelligence	ACADEMIA
Allen Institute for Artificial Intelligence	USA	North America	Allen Institute for Artificial Intelligence	ACADEMIA
Brain Team	USA	North America	Alphabet	ACADEMIA
DeepMind	United Kingdom	Europe	Alphabet	INDUSTRY
DeepMind Technologies	United Kingdom	Europe	Alphabet	INDUSTRY
Deepmind	United Kingdom	Europe	Alphabet	INDUSTRY
Everyday Robots	USA	North America	Alphabet	INDUSTRY
GOOGLE	USA	North America	Alphabet	INDUSTRY
Google	USA	North America	Alphabet	INDUSTRY
Google AI	USA	North America	Alphabet	INDUSTRY
Google AI Brain Team	USA	North America	Alphabet	INDUSTRY
Google AI Language	USA	North America	Alphabet	INDUSTRY
Google Brain	United States	North America	Alphabet	INDUSTRY
Google Brain / Google Research	USA	North America	Alphabet	INDUSTRY
Google Cloud	USA	North America	Alphabet	INDUSTRY
Google Cloud AI	USA	North America	Alphabet	INDUSTRY
Google Cloud Platform	USA	North America	Alphabet	INDUSTRY
Google DeepMind	United Kingdom	Europe	Alphabet	INDUSTRY
Google Deepmind	United Kingdom	Europe	Alphabet	INDUSTRY
Google Inc	United States	North America	Alphabet	INDUSTRY
Google Inc.	USA	North America	Alphabet	INDUSTRY
Google Research	USA	North America	Alphabet	INDUSTRY
Google TFTC team	USA	North America	Alphabet	INDUSTRY
Google implied from authors affiliations	USA	North America	Alphabet	INDUSTRY
Robotics at Google	USA	North America	Alphabet	INDUSTRY
Waymo LLC	USA	North America	Alphabet	INDUSTRY
X formerly Google X	USA	North America	Alphabet	INDUSTRY
AWS AI	USA	North America	Amazon	INDUSTRY
Amazon	USA	North America	Amazon	INDUSTRY
Amazon AWS	USA	North America	Amazon	INDUSTRY
Amazon Alexa AI	USA	North America	Amazon	INDUSTRY
Amazon Web Services	USA	North America	Amazon	INDUSTRY
AMD	USA	North America	AMD	INDUSTRY
Amii	Canada	North America	Amii	ACADEMIA
and others	n/a	n/a	and others	N/A
Ant Group	China	China	Ant Group	INDUSTRY
Anthropic	USA	North America	Anthropic	INDUSTRY
Anthropic AI	USA	North America	Anthropic	INDUSTRY
Apple	United States	North America	Apple	INDUSTRY
Apple AI/ML	USA	North America	Apple	INDUSTRY
Apple Inc.	USA	North America	Apple 	INDUSTRY
Applied Research	USA	North America	Applied Research	ACADEMIA
ARO	Israel	Middle East	ARO	ACADEMIA
Artificial Intelligence Lab	USA	North America	Artificial Intelligence Lab	ACADEMIA
Artificial Intelligence Laboratory	USA	North America	Artificial Intelligence Lab	ACADEMIA
ASAPP	USA	North America	ASAPP	INDUSTRY
ASAPP Inc.	USA	North America	ASAPP 	INDUSTRY
ASRI	United States	North America	ASRI	ACADEMIA
Astronautics	USA	North America	Astronautics	INDUSTRY
ATR	Japan	APAC	ATR	ACADEMIA
Auburn University	USA	North America	Auburn University	ACADEMIA
Australia	Australia	APAC	Australia	N/A
Australian Centre for Robotic Vision	Australia	APAC	Australian Centre for Robotic Vision	ACADEMIA
Austria	Austria	Europe	Austria	N/A
Aylien Ltd.	Ireland	Europe	Aylien Ltd.	INDUSTRY
BAAI	China	China	BAAI	ACADEMIA
BAAI RoboBrain Team	China	China	BAAI	ACADEMIA
Baidu Institute of Deep Learning	China	China	Baidu	INDUSTRY
Baidu Research	China	China	Baidu	INDUSTRY
Baidu Research – Silicon Valley AI Lab	USA	North America	Baidu	INDUSTRY
Baidu Inc.	China	China	Baidu 	INDUSTRY
Bar Ilan University	Israel	Middle East	Bar Ilan University	ACADEMIA
Beihang University	China	China	Beihang University	ACADEMIA
Beijing	China	China	Beijing	ACADEMIA
Beijing Academy of Artificial Intelligence	China	China	Beijing Academy of Artificial Intelligence	ACADEMIA
Beijing Academy of Artificial Intelligence BAAI	China	China	Beijing Academy of Artificial Intelligence	ACADEMIA
Beijing Institute of Technology	China	China	Beijing Institute of Technology	ACADEMIA
Beijing University of Posts	China	China	Beijing University of Posts	ACADEMIA
Ben-Gurion University	Israel	Middle East	Ben-Gurion University	ACADEMIA
Berkeley	USA	North America	University of California, Berkeley	ACADEMIA
BIGAI	China	China	BIGAI	ACADEMIA
BigCode community	n/a	n/a	BigCode community	N/A
BigScience	France	Europe	BigScience	ACADEMIA
BigScience Workshop	France	Europe	BigScience	ACADEMIA
Bloomberg	USA	North America	Bloomberg	INDUSTRY
Bosch Center for AI	Germany	Europe	Bosch	INDUSTRY
Boston	USA	North America	Boston	N/A
Brown University	USA	North America	Brown University	ACADEMIA
Business Division	n/a	n/a	Business Division	INDUSTRY
ByteDance	China	China	ByteDance	INDUSTRY
ByteDance Research	China	China	ByteDance	INDUSTRY
California Institute of Technology	USA	North America	California Institute of Technology	ACADEMIA
Capital One	USA	North America	Capital One	INDUSTRY
Carnegie Mellon University	USA	North America	Carnegie Mellon University	ACADEMIA
Robotics Institute	USA	North America	Carnegie Mellon University	ACADEMIA
CAS	China	China	CAS	ACADEMIA
CBMM	USA	North America	CBMM	ACADEMIA
Center for Cognitive Modeling	Germany	Europe	Center for Cognitive Modeling	ACADEMIA
CentraleSupélec	France	Europe	CentraleSupélec	ACADEMIA
Cerebras Systems	USA	North America	Cerebras Systems	INDUSTRY
and Cerebras Systems	USA	North America	Cerebras Systems	INDUSTRY
and Cerebras Systems.	USA	North America	Cerebras Systems	INDUSTRY
CFCS	Denmark	Europe	CFCS	ACADEMIA
Chapel Hill	USA	North America	Chapel Hill	ACADEMIA
Charles University	Czech Republic	Europe	Charles University	ACADEMIA
China	China	China	China	N/A
CAS Key Laboratory of Behavioral Science	China	China	Chinese Academy of Sciences	ACADEMIA
Chinese Academy of Sciences	China	China	Chinese Academy of Sciences	ACADEMIA
Institute of Automation Chinese Academy of Sciences	China	China	Chinese Academy of Sciences	ACADEMIA
Key Laboratory of AI Safety of CAS	China	China	Chinese Academy of Sciences	ACADEMIA
Shenzhen Institute of Advanced Technology	China	China	Chinese Academy of Sciences	ACADEMIA
Shenzhen Institutes of Advanced Technology	China	China	Chinese Academy of Sciences	ACADEMIA
University of Chinese Academy of Sciences	China	China	Chinese Academy of Sciences	ACADEMIA
Chinese Academy of Sciences CAS	China	China	Chinese Academy of Sciences	ACADEMIA
CIFAR	Canada	North America	CIFAR	ACADEMIA
CIFAR AI Research Chair	Canada	North America	CIFAR	ACADEMIA
CMU	USA	North America	CMU	ACADEMIA
CNRS	France	Europe	CNRS	ACADEMIA
Cohere For AI	Canada	North America	Cohere	INDUSTRY
Cohere For AI Community	n/a	n/a	Cohere	INDUSTRY
Columbia University	USA	North America	Columbia University	ACADEMIA
Computational Sciences	n/a	n/a	Computational Sciences	ACADEMIA
Computer Science	n/a	n/a	Computer Science	ACADEMIA
Computer Science Department	n/a	n/a	Computer Science Department	ACADEMIA
Computer Sciences Department	USA	North America	Computer Sciences Department	ACADEMIA
Computer Shogi Association CSA	Japan	APAC	Computer Shogi Association CSA	ACADEMIA
Concordia University	Canada	North America	Concordia University	ACADEMIA
Continuum Robotics Laboratory	USA	North America	Continuum Robotics Laboratory	ACADEMIA
Cornell University	USA	North America	Cornell University	ACADEMIA
Covariant	USA	North America	Covariant	INDUSTRY
CUHK	Hong Kong	APAC	CUHK	ACADEMIA
CUHK-MMLAB	China	China	CUHK	ACADEMIA
Czech Technical University	Czech Republic	Europe	Czech Technical University	ACADEMIA
Czechia	Czechia	Europe	Czechia	N/A
Dalle Molle Institute for Artificial Intelligence	Switzerland	Europe	Dalle Molle Institute for Artificial Intelligence	ACADEMIA
DARPA	USA	North America	DARPA	ACADEMIA
MosaicML	USA	North America	Databricks	INDUSTRY
Deep Learning	n/a	n/a	Deep Learning	ACADEMIA
DeepSeek-AI	China	China	DeepSeek-AI	INDUSTRY
deepset	Germany	Europe	deepset	INDUSTRY
Department of Automation	China	China	Department of Automation	ACADEMIA
Department of ECE	USA	North America	Department of ECE	ACADEMIA
Department of Immunology	USA	North America	Department of Immunology	ACADEMIA
Department of Informatics	Germany	Europe	Department of Informatics	ACADEMIA
Department of Mathematical	n/a	n/a	Department of Mathematical	ACADEMIA
Dept. of Computer Science	n/a	n/a	Dept. of Computer Science	ACADEMIA
Digital Brain Laboratory	USA	North America	Digital Brain Laboratory	ACADEMIA
Digital Economy	n/a	n/a	Digital Economy	ACADEMIA
DisneyResearch|Studios	Switzerland	Europe	Disney	INDUSTRY
Distributed	n/a	n/a	Distributed	N/A
Dublin	Ireland	Europe	Dublin	N/A
Duke University	USA	North America	Duke University	ACADEMIA
East China Normal University	China	China	East China Normal University	ACADEMIA
École des Ponts	France	Europe	Ecole des Ponts ParisTech	ACADEMIA
Ecole des Ponts ParisTech	France	Europe	Ecole des Ponts ParisTech	ACADEMIA
École des Ponts ParisTech	France	Europe	École des Ponts ParisTech	ACADEMIA
ECU	Australia	APAC	ECU	ACADEMIA
Eindhoven University of Technology	Netherlands	Europe	Eindhoven University of Technology	ACADEMIA
EleutherAI	USA	North America	EleutherAI	ACADEMIA
ELLIS Unit Linz	Austria	Europe	ELLIS Unit Linz	ACADEMIA
Engineering	n/a	n/a	Engineering	ACADEMIA
EPFL	Switzerland	Europe	EPFL	ACADEMIA
EquiLibre Technologies	n/a	n/a	EquiLibre Technologies	INDUSTRY
ETH Zürich	Switzerland	Europe	ETH Zürich	ACADEMIA
Faculty of IT	Australia	APAC	Faculty of IT	ACADEMIA
fast.ai	USA	North America	fast.ai	ACADEMIA
Ferdowsi University of Mashhad	Iran	Middle East	Ferdowsi University of Mashhad	ACADEMIA
Fondazione Bruno Kessler FBK	Italy	Europe	Fondazione Bruno Kessler FBK	ACADEMIA
FORTH	Greece	Europe	FORTH	ACADEMIA
Foundation Model Research Center	USA	North America	Foundation Model Research Center	INDUSTRY
France	France	Europe	France	N/A
Fudan University	China	China	Fudan University	ACADEMIA
FZI Research Center for Information Technology	Germany	Europe	FZI Research Center for Information Technology	ACADEMIA
Galbot	n/a	n/a	Galbot	N/A
Georgia Institute of Technology	USA	North America	Georgia Institute of Technology	ACADEMIA
Georgia Tech Research Institute	USA	North America	Georgia Institute of Technology	ACADEMIA
German Research Center for AI	Germany	Europe	German Research Center for AI	ACADEMIA
Germany	Germany	Europe	Germany	N/A
Ghent University	Belgium	Europe	Ghent University	ACADEMIA
IDLab	Belgium	Europe	Ghent University	ACADEMIA
Grammarly	USA	North America	Grammarly	INDUSTRY
Guangdong Laboratory of Artificial Intelligence	China	China	Guangdong Laboratory of Artificial Intelligence	ACADEMIA
Harbin Institute of Technology	China	China	Harbin Institute of Technology	ACADEMIA
Harvard University	USA	North America	Harvard University	ACADEMIA
Hatanpää	Finland	Europe	Hatanpää	N/A
HazyResearch	USA	North America	HazyResearch	ACADEMIA
HEC	France	Europe	HEC	ACADEMIA
HEC Montréal	Canada	North America	HEC Montréal	ACADEMIA
Heidelberg Collaboratory for Image Processing	Germany	Europe	Heidelberg Collaboratory for Image Processing	ACADEMIA
Heidelberg University	Germany	Europe	Heidelberg University	ACADEMIA
IWR	Germany	Europe	Heidelberg University	ACADEMIA
HKUST	Hong Kong	APAC	HKUST	ACADEMIA
Hong Kong University of Science	Hong Kong	APAC	Hong Kong University of Science	ACADEMIA
Horizon Robotics Inc.	China	China	Horizon Robotics 	INDUSTRY
Huawei	China	China	Huawei	INDUSTRY
Huawei Noah’s Ark Lab	China	China	Huawei	INDUSTRY
Huawei Technologies Noah’s Ark Lab	China	China	Huawei	INDUSTRY
Huawei Technologies	China	China	Huawei	INDUSTRY
Huazhong University of Science	China	China	Huazhong University of Science	ACADEMIA
Hugging Face	USA	North America	Hugging Face	INDUSTRY
Hugging Face Inc.	USA	North America	Hugging Face 	INDUSTRY
Boston Dynamics AI Institute	USA	North America	Hyundai Motor Group	INDUSTRY
IARAI	Austria	Europe	IARAI	ACADEMIA
Almaden	USA	North America	IBM	INDUSTRY
IBM	USA	North America	IBM	INDUSTRY
IBM Research	USA	North America	IBM	INDUSTRY
IBM T.J. Watson Research Center	USA	North America	IBM	INDUSTRY
MIT-IBM Watson AI Lab	USA	North America	IBM	ACADEMIA
IDSIA	Switzerland	Europe	IDSIA	ACADEMIA
IIIT Hyderabad	India	APAC	IIIT Hyderabad	ACADEMIA
The Robot Learning Lab at Imperial College London	United Kingdom	Europe	Imperial College London	ACADEMIA
Improbable AI Lab	USA	North America	Improbable AI Lab	INDUSTRY
Inception	France	Europe	Inception	INDUSTRY
India	India	APAC	India	N/A
INRIA	France	Europe	INRIA	ACADEMIA
Inria	France	Europe	Inria	ACADEMIA
Insight Centre	Ireland	Europe	Insight Centre	ACADEMIA
Inspur Artificial Intelligence Research Institute	China	China	Inspur	INDUSTRY
Institute for Advanced Research in Artificial Intelligence IARAI	Austria	Europe	Institute for Advanced Research in Artificial Intelligence IARAI	ACADEMIA
Institute for AI Industry Research	China	China	Institute for AI Industry Research	INDUSTRY
Institute for Interdisciplinary Information Sciences	China	China	Institute for Interdisciplinary Information Sciences	ACADEMIA
Institute for Machine Learning	Austria	Europe	Institute for Machine Learning	ACADEMIA
Institute for Research in Fundamental Sciences IPM	Iran	Middle East	Institute for Research in Fundamental Sciences IPM	ACADEMIA
Institute of Advanced Research in Artificial Intelligence IARAI	Austria	Europe	Institute of Advanced Research in Artificial Intelligence IARAI	ACADEMIA
Institute of Automation	China	China	Institute of Automation	ACADEMIA
Institute of Computer Science	Poland	Europe	Institute of Computer Science	ACADEMIA
Institute of Computing Technology	China	China	Institute of Computing Technology	ACADEMIA
Institute of Psychology	Germany	Europe	Institute of Psychology	ACADEMIA
Institute of Software	China	China	Institute of Software	ACADEMIA
Intel	USA	North America	Intel	INDUSTRY
Intel Labs	USA	North America	Intel	INDUSTRY
International Computer Science Institute	USA	North America	International Computer Science Institute	ACADEMIA
International Digital Economy Academy	n/a	n/a	International Digital Economy Academy	ACADEMIA
Intuitive Surgical Inc.	USA	North America	Intuitive Surgical 	INDUSTRY
Islamic Azad University	Iran	Middle East	Islamic Azad University	ACADEMIA
Jacobs University	Germany	Europe	Jacobs University	ACADEMIA
Jacobs University Bremen	Germany	Europe	Jacobs University Bremen	ACADEMIA
Jamba Team	n/a	n/a	Jamba Team	N/A
Jane Street Group	USA	North America	Jane Street Group	INDUSTRY
JD Explore Academy	China	China	JD.com	N/A
JD.com Inc.	China	China	JD.com 	INDUSTRY
Johannes Kepler University Linz	Austria	Europe	Johannes Kepler University Linz	ACADEMIA
LIT AI Lab	Austria	Europe	Johannes Kepler University Linz	ACADEMIA
JHU	USA	North America	Johns Hopkins University	ACADEMIA
JHU APL	USA	North America	Johns Hopkins University	ACADEMIA
Johns Hopkins University	USA	North America	Johns Hopkins University	ACADEMIA
KAIST	South Korea	APAC	KAIST	ACADEMIA
KAIST AI	South Korea	APAC	KAIST	ACADEMIA
Khoury College of Computer Sciences Northeastern University	USA	North America	Khoury College of Computer Sciences Northeastern University	ACADEMIA
Kimi Team	n/a	n/a	Kimi Team	N/A
King’s College London	United Kingdom	Europe	King’s College London	ACADEMIA
Kingsoft AI Lab	China	China	Kingsoft	INDUSTRY
Korea	Korea	APAC	Korea	N/A
Korea University	South Korea	APAC	Korea University	ACADEMIA
ESAT – PSI	Belgium	Europe	KU Leuven	ACADEMIA
KU Leuven	Belgium	Europe	KU Leuven	ACADEMIA
Kyoto University	Japan	APAC	Kyoto University	ACADEMIA
LG AI Research	South Korea	APAC	LG	INDUSTRY
LIAMA-NLPR	China	China	LIAMA-NLPR	ACADEMIA
LIGM	France	Europe	LIGM	ACADEMIA
LIGM Ecole des Ponts ParisTech	France	Europe	LIGM Ecole des Ponts ParisTech	ACADEMIA
London	United Kingdom	Europe	London	N/A
LORIA	France	Europe	LORIA	ACADEMIA
Los Angeles	USA	North America	Los Angeles	N/A
Ltd.	n/a	n/a	Ltd.	INDUSTRY
Ludwig Maximilian University of Munich	Germany	Europe	Ludwig Maximilian University of Munich	ACADEMIA
LUH	Germany	Europe	LUH	ACADEMIA
Maitrix.org	n/a	n/a	Maitrix.org	N/A
CSAIL	USA	North America	Massachusetts Institute of Technology	ACADEMIA
MBZUAI	United Arab Emirates	Middle East	MBZUAI	ACADEMIA
McGill University	Canada	North America	McGill University	ACADEMIA
Megvii Inc Face++	China	China	Megvii 	INDUSTRY
Megvii Technology	China	China	Megvii Technology	INDUSTRY
FAIR	USA	North America	Meta	ACADEMIA
FAIR Team	USA	North America	Meta	N/A
FAIR at Meta	USA	North America	Meta	INDUSTRY
FAIRSEQ	USA	North America	Meta	ACADEMIA
Facebook	United States	North America	Meta	INDUSTRY
Facebook AI	USA	North America	Meta	INDUSTRY
Facebook AI Research	USA	North America	Meta	INDUSTRY
Facebook AI Research FAIR	USA	North America	Meta	INDUSTRY
Meta	USA	North America	Meta	INDUSTRY
Meta AI	United States	North America	Meta	INDUSTRY
Meta AI FAIR Team	USA	North America	Meta	INDUSTRY
Meta AI Research	USA	North America	Meta	INDUSTRY
Meta FAIR Team	USA	North America	Meta	INDUSTRY
New York University Meta AI	USA	North America	Meta	ACADEMIA
The FAIR team of Meta AI	USA	North America	Meta	INDUSTRY
MSRA	China	China	Microsoft	ACADEMIA
Microsoft	USA	North America	Microsoft	INDUSTRY
Microsoft Azure AI	USA	North America	Microsoft	INDUSTRY
Microsoft Corporation	USA	North America	Microsoft	INDUSTRY
Microsoft Dynamics 365 AI	USA	North America	Microsoft	INDUSTRY
Microsoft Maluuba	Canada	North America	Microsoft	INDUSTRY
Microsoft Research	USA	North America	Microsoft	INDUSTRY
Microsoft Research Asia	China	China	Microsoft	INDUSTRY
Microsoft/NVIDIA	USA	North America	Microsoft	INDUSTRY
Redmond	USA	North America	Microsoft	INDUSTRY
Midea Group	China	China	Midea Group	INDUSTRY
Midjourney	USA	North America	Midjourney	INDUSTRY
Mila	Canada	North America	Mila - Quebec AI Institute	ACADEMIA
Mila - Quebec AI Institute	Canada	North America	Mila - Quebec AI Institute	ACADEMIA
Mila - Québec AI Institute	Canada	North America	Mila - Québec AI Institute	ACADEMIA
