year,Language,Vision,Multimodal,Image generation,Audio,Speech,Robotics,Games,Video,Other
2010-01-01 00:00:00+01:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01 00:00:00+01:00,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-01-01 00:00:00+01:00,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2013-01-01 00:00:00+01:00,6.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
2014-01-01 00:00:00+01:00,9.0,13.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0
2015-01-01 00:00:00+01:00,6.0,11.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2016-01-01 00:00:00+01:00,14.0,23.0,0.0,5.0,3.0,2.0,1.0,2.0,0.0,0.0
2017-01-01 00:00:00+01:00,24.0,24.0,1.0,5.0,1.0,4.0,0.0,3.0,1.0,1.0
2018-01-01 00:00:00+01:00,27.0,20.0,4.0,6.0,2.0,2.0,6.0,3.0,0.0,1.0
2019-01-01 00:00:00+01:00,38.0,22.0,4.0,6.0,0.0,5.0,0.0,4.0,1.0,0.0
2020-01-01 00:00:00+01:00,27.0,9.0,0.0,7.0,3.0,5.0,2.0,5.0,0.0,1.0
2021-01-01 00:00:00+01:00,43.0,26.0,17.0,11.0,4.0,5.0,2.0,5.0,1.0,1.0
2022-01-01 00:00:00+01:00,54.0,19.0,17.0,11.0,6.0,3.0,2.0,3.0,5.0,3.0
2023-01-01 00:00:00+01:00,54.0,29.0,34.0,10.0,18.0,8.0,10.0,2.0,5.0,1.0
2024-01-01 00:00:00+01:00,24.0,8.0,10.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0
2025-01-01 00:00:00+01:00,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
